Index|Word|Definition|Grouping
5513|Tenor|The Adult Male Voice Between The Bass And Countertenor|Noun

5514|Tentative|Unsure|Adjective

5515|Tenuous|Thin Or Slender In Form|Adjective

5516|Tenure|The Holding Or Possessing Of Something|Verb

5517|Tepid|Lukewarm, Neither Warm Nor Cool|Adjective

5518|Tercentenary|Tricentenntial|Adjective

5519|Termagant|Quarrelsome And Scolding Or Censorious, Shrewish|Adjective

5520|Terminal|Fatal, Resulting In Death|Adjective

5521|Terminate|To Finish Or End|Verb

5522|Terminus|The End Or Final Point Of Something|Noun

5523|Terrestrial|Representing The Earth As Distinct From Other Planets|Adjective

5524|Terrify|To Frighten Greatly, To Fill With Terror|Verb

5525|Territorial|Of, Relating To, Or Restricted To A Specific Geographic Area|Adjective

5526|Terse|Neatly Or Effectively Concise|Adjective

5527|Testament|A Will, Relating To One'S Personal Property|Noun

5528|Testator|One Who Dies Having Made A Legally Valid Will|Noun

5529|Testimonial|A Statement, Especially One Given Under Oath, Testimony|Noun

5530|Testy|Easily Annoyed, Irritable|Adjective

5531|Tether|A Rope Or Chain By Which An Animal Is Tied To A Fixed Object|Noun

5532|Thearchy|The Rule Or Government Of A God|Noun

5533|Theism|Belief In The Existence Of At Least One Deity|Noun

5534|Theocracy|Government Under The Control Of A Religion|Noun

5535|Theocrasy|Interaction, Admixture, And Conflation Of Divine Principles|Noun

5536|Theologian|One Who Studies Theology, Especially Christian|Noun

5537|Theological|Relating To The Nature And Will Of God As Revealed To Humans|Adjective

5538|Theology|The Field Of Study And Analysis Of Divine Things|Noun

5539|Theoretical|Existing Only In Theory, Hypothetical|Adjective

5540|Theorist|Someone Who Constructs Theories|Noun

5541|Theorize|To Formulate Theories About Some Specific Subject|Verb

5542|Therapeutic|Of Or Pertaining To The Treating Or Curing Of Disease|Adjective

5543|Thereabout|About Or Near That Place Or Time|Adverb

5544|Thermal|Pertaining To Heat Or Temperature|Adjective

5545|Thermoelectric|Pertaining To The Relationship Between Heat And Electricity|Adjective

5546|Thermoelectricity|Electricity Generated By Heat Or Temperature|Noun

5547|Thesis|A Subject For A Composition Or Essay|Noun

5548|Thoroughbred|Bred From Pure Stock|Adjective

5549|Thoroughfare|A Passage, A Way Through|Noun

5550|Thrall|A Person Who Is Enslaved By Some Power|Noun

5551|Threadbare|Shabby, Frayed And Worn To An Extent That Warp Threads Show|Adjective

5552|Threshold|The Bottom-Most Part Of A Doorway That One Crosses To Enter|Noun

5553|Thrive|Prosper; Flourish|Verb

5554|Throng|A Crowd|Noun

5555|Thwart|To Prevent, To Halt, To Cause To Fail, To Foil, To Frustrate|Verb

5556|Tilth|The Act Of Tilling Land For Crop|Noun

5557|Timbre|The Quality Of A Sound Independent Of Its Pitch And Volume|Noun

5558|Timorous|Fearful|Adjective

5559|Tincture|A Dye Or Pigment|Noun

5560|Tinge|To Colour Slightly|Verb

5561|Tipsy|Foolish As A Result Of Drinking Alcoholic Beverages|Adjective

5562|Tirade|A Long, Angry Or Violent Speech, A Diatribe|Noun

5563|Tiresome|Causing Fatigue Or Boredom, Wearisome|Adjective

5564|Titter|To Laugh Or Giggle In A Somewhat Subdued Manner|Verb

5565|Toady|A Flatterer|Noun

5566|Toilsome|Requiring Continuous Physical Effort, Laborious|Adjective

5567|Tome|A Very Heavy Or Learned Book|Noun

5568|Topography|The Detailed Mapping Of The Features Of A Geological Area|Noun

5569|Torpid|Unmoving, Dormant Or Hibernating|Adjective

5570|Torpor|Sluggish Activity, Inertia|Noun

5571|Torrid|Very Hot And Dry|Adjective

5572|Tortious|Of, Pertaining To, A Breach Of Contract|Adjective

5573|Tortuous|Full Of Twists, Turns Or Bends|Adjective

5574|Torturous|Of Or Pertaining To Suffering Or Torture|Adjective

5575|Totter|To Walk, Move Or Stand Unsteadily Or Falteringly|Verb

5576|Touchstone|A Test For The Qualities Of Something|Noun

5577|Tourniquet|A Device For Stopping Bleeding By Compressing A Blood Vessel|Noun

5578|Tractable|Easily Managed Or Controlled|Adjective

5579|Traduce|To Slander, Or To Speak Maliciously And Falsely Of|Verb

5580|Trait|An Identifying Characteristic, Habit Or Trend|Noun

5581|Trajectory|The Path Of A Body As It Travels Through Space|Noun

5582|Trammel|A Restraint|Noun

5583|Tranquil|Peaceful|Adjective

5584|Transact|To Do, Carry Through, Conduct Or Perform Some Action|Verb

5585|Transalpine|On The Other Side Of The Alps (With Respect To Rome)|Adjective

5586|Transatlantic|On, From The Other Side Of, Or Crossing The Atlantic Ocean|Adjective

5587|Transcend|To Rise Above Or Go Beyond|Verb

5588|Transcontinental|Crossing, Spanning A Continent|Adjective

5589|Transcribe|To Make A Written Copy Of Spoken Material|Verb

5590|Transcript|A Written, Or Printed Copy|Noun

5591|Transference|The Act Of Conveying From One Place To Another|Noun

5592|Transferrer|A Person Who, Or Thing That Transfers|Noun

5593|Transfigure|To Transform The Outward Appearance Of Something|Verb

5594|Transfuse|To Transfer Or Pass From One To Another|Verb

5595|Transfusion|The Transfer Of Blood From One Individual To Another|Noun

5596|Transgress|To Violate A Law, Command, Moral Code, Etc|Verb

5597|Transience|The Quality Of Being Transient, Temporary, Brief Or Fleeting|Noun

5598|Transient|Passing Or Disappearing With Time, Transitory|Adjective

5599|Transitive|Passing Over Or Affecting Something Else|Adjective

5600|Transitory|Lasting Only A Short Time, Temporary|Adjective

5601|Transliterate|To Change Into Corresponding Characters Of Another Alphabet|Verb

5602|Translucent|Clear Enough For Light To Pass Through But Not Totally Clear|Adjective

5603|Transmission|The Act Of Sending Something Forward|Noun

5604|Transmit|To Send Something From One Person, Place Or Thing To Another|Verb

5605|Transmute|To Change From One Form Into Another|Verb

5606|Transpire|To Occur, Happen Or Take Place|Verb

5607|Transplant|To Transfer Something From One Place To Another|Verb

5608|Transposition|A Shift In A Piece Of Music From One Key To Another|Noun

5609|Transverse|Lying Or Extending Crosswise Or At Right Angles To Something|Adjective

5610|Trappings|The Dress Or Insignia Associated With A Position Or Status|Noun

5611|Traumatic|Of, Caused By, Or Causing Trauma|Adjective

5612|Travail|Toil, Painfully Difficult Work|Noun

5613|Traverse|To Pass Or Move Over, Along Or Through|Verb

5614|Travesty|Any Grotesque Likeness Or Imitation Of Something|Noun

5615|Treacherous|Traitorous|Adjective

5616|Treachery|Betrayal Of Trust|Noun

5617|Treasonable|Involving, Or Constituting Treason|Adjective

5618|Treatise|A Formal, Usually Lengthy, Systematic Discourse On A Subject|Noun

5619|Treble|A High Or Shrill Voice Or Sound|Noun

5620|Trebly|Having Treble, Or High-Pitched, Qualities|Adjective

5621|Tremendous|Awe-Inspiring, Terrific|Adjective

5622|Tremor|To Shake Or Quiver Excessively And Rapidly Or Involuntarily|Verb

5623|Tremulous|Trembling, Quivering Or Shaking|Adjective

5624|Trenchant|Caustic, Cutting, As Language Or A Person|Adjective

5625|Trepidation|Tremulous Fear|Noun

5626|Trestle|A Frame With A Horizontal Beam Supported By A Pair Of Legs|Noun

5627|Triad|A Grouping Of Three|Noun

5628|Tribune|A Person Who Upholds Or Defends The Rights Of The People|Noun

5629|Trickery|Artifice, Deception|Noun

5630|Tricolor|Having Three Colors|Adjective

5631|Tricycle|Vehicle With 1 Large Front Wheel And 2 Smaller Rear Wheels|Noun

5632|Trident|A Three-Pronged Spear Somewhat Resembling A Pitchfork|Noun

5633|Triennial|Happening Every Three Years|Adjective

5634|Trimness|The State Of Being Well Arranged Or Appearing Neat|Noun

5635|Trinity|A Group Of Three People Or Things|Noun

5636|Trinket|A Small Showy Ornament Or Piece Of Jewelry|Noun

5637|Triplicate|To Make Three Identical Copies Of Something|Verb

5638|Triplicity|The State Of Being Triple Or Threefold|Noun

5639|Tripod|A Three-Legged Stand Or Support, As For A Camera|Noun

5640|Trisect|To Cut Into Three Pieces|Verb

5641|Trite|Lacking In Originality, Stale|Adjective

5642|Triumvir|1 Of 3 Persons Associated In Any Position Of Authority|Noun

5643|Trivial|Of Little Significance Or Value|Adjective

5644|Troubadour|One Of A Class Of Medieval Lyric Poets|Noun

5645|Trough|A Long Box Used To Hold Food And Water For Animals|Noun

5646|Truant|A Student Who Stays Away From School Without Permission|Noun

5647|Truckle|To Submit Or Yield Tamely|Verb

5648|Truculent|Fierce|Adjective

5649|Truism|A Self-Evident Or Obvious Truth|Noun

5650|Truncate|To Shorten Something As If By Cutting Off Part Of It|Verb

5651|Truthful|Honest, And Always Telling The Truth|Adjective

5652|Tryst|An Arrangement Between Lovers To Meet|Noun

5653|Tumult|Violent And Noisy Commotion Of A Crowd Or Mob|Noun

5654|Turbid|Not Clear Because Of Stirred Up Sediment, Opaque, Obscured|Adjective

5655|Turgid|Swollen|Adjective

5656|Turmoil|A State Of Great Commotion, Confusion Or Disturbance|Noun

5657|Turpitude|Vile, Shameful Or Base Character|Noun

5658|Tutelage|The Act Of Guarding Or Protecting, Guardianship|Noun

5659|Tutelar|Serving As A Guardian, Protective, Tutelary|Adjective

5660|Tutorship|The Duty Of A Tutor, Tutelage|Noun

5661|Twinge|A Sudden, Sharp Pain|Noun

5662|Typical|Capturing The Overall Sense Of A Thing|Adjective

5663|Typify|To Embody, Exemplify, To Represent By An Image|Verb

5664|Typographical|Pertaining To Typography Or Printing|Adjective

5665|Typography|The Art Or Practice Of Setting And Arranging Type|Noun

5666|Tyrannical|Unjustly Cruel, Harsh Or Severe|Adjective

5667|Tyranny|Arbitrary Or Unrestrained Exercise Of Power|Noun

5668|Tyro|A Learner Or Beginner|Noun

5669|Ubiquitous|Existing Or Being Everywhere, Omnipresent|Adjective

5670|Ulterior|Beyond What Is Obvious Or Evident|Adjective

5671|Ultimate|Highest, Maximum|Adjective

5672|Ultimatum|A Final, Uncompromising Demand Issued By A Party|Noun

5673|Ultramontane|Pertaining To The Area South Of The Alps, Especially Italy|Adjective

5674|Ultramundane|Extraordinary, Abnormal|Adjective

5675|Umbrage|Offense, Annoyance, Displeasure|Noun

5676|Umlaut|A Mark Over A Vowel Used To Indicate A Different Vowel Sound|Noun

5677|Unaccountable|Inexplicable, Unable To Account For, Or Explain|Adjective

5678|Unaffected|Lacking Pretense Or Affectation, Natural|Adjective

5679|Unalloyed|Not In Mixture With Other Metals, Pure|Adjective

5680|Unanimity|The Condition Of Complete Agreement By All Parties|Noun

5681|Unanimous|Based On  Complete Assent Or Agreement|Adjective

5682|Unassailable|Secure Against Attack, Impregnable|Adjective

5683|Unassuming|Modest And Having No Pretensions Or Ostentation|Adjective

5684|Unavoidable|Impossible To Avoid, Bound To Happen|Adjective

5685|Unbearable|So Unpleasant Or Painful As To Be Unendurable|Adjective

5686|Unbecoming|Not Flattering, Attractive Or Appropriate|Adjective

5687|Unbelief|A Lack (Or Rejection) Of Belief|Noun

5688|Unbridled|Not Controlled Or Restrained|Adjective

5689|Uncanny|Extraordinary|Adjective

5690|Unconscionable|Unscrupulous, Not Guided By Conscience|Adjective

5691|Unconscious|Not Awake|Adjective

5692|Unction|Anointing, As A Medical Treatment Or Religious Rite|Noun

5693|Unctuous|Excessively Smooth, Suave Or Smug|Adjective

5694|Undeceive|To Free From Misconception, Deception Or Error|Verb

5695|Undercharge|To Charge Less Than The Correct Amount|Verb

5696|Underexpose|Expose (Film Or An Image) For Too Short A Time|Verb

5697|Underhanded|Sneaky|Adjective

5698|Underlie|To Lie In A Position Directly Beneath|Verb

5699|Underling|A Subordinate|Noun

5700|Underman|Insufficiently Furnished With Men; Short-Handed|

5701|Undermine|To Attempt To Subvert Through Stealth|Verb

5702|Underpinning|A System Of Supports Beneath A Wall|Noun

5703|Underrate|To Underestimate, To Make Too Low A Rate Or Estimate|Verb

5704|Underscore|To Underline, To Mark A Line Beneath Text|Verb

5705|Undersell|To Sell Goods For A Lower Price Than A Competitor|Verb

5706|Understate|To Minimise Or Downplay|Verb

5707|Underwrite|To Write Under, Especially Under Other Written Matter|Verb

5708|Undulate|To Cause To Move In A Wavelike Motion|Verb

5709|Undulating|Rising And Falling Like Waves|Adjective

5710|Undulation|A Wavelike Motion|Noun

5711|Undulous|Undulating|Adjective

5712|Unduly|Excessively|Adjective

5713|Unequivocal|Having Only One Possible Meaning Or Explanation|Adjective

5714|Unfavorable|Disadvantageous, Adverse, Unsuitable|Adjective

5715|Unfeigned|Sincere|Adjective

5716|Unfetter|Free From Restraint|Verb

5717|Unflappable|Remaining Composed And Level-Headed At All Times|Adjective

5718|Unflinching|Staying Committed Despite Any Difficulty, Steadfast|Adjective

5719|Unfounded|Having No Strong Foundation, Not Based On Reasons Or Facts|Adjective

5720|Unfrock|To Remove From Status As A Member Of A Clergy|Verb

5721|Ungainly|Clumsy, Lacking Grace|Adjective

5722|Unguent|Therapeutic Skin Cream With Medicinal Ingredients|Noun

5723|Unicellular|Describing Any Microorganism That Has A Single Cell|Adjective

5724|Unification|The Process Of Unifying Or Uniting|Noun

5725|Uniform|Identical Or Consistent|Noun

5726|Unify|To Become One, Merge, Combine|Verb

5727|Unilateral|Done By One Side Only|Adjective

5728|Unimpeachable|Above Suspicion, Impossible To Discredit|Adjective

5729|Uninhibited|Not Restrained By Social Convention Or Usage|Adjective

5730|Unintelligible|Not Capable Of Being Understood|Adjective

5731|Unisonant|Of A Single Sound, Producing The Same Sound|Adjective

5732|Unitarian|A Supporter Of Unity Or Centralization|Noun

5733|Univalence|(Chemistry) The Condition Of Having A Valence Of One|Noun

5734|Univocal|Having Only One Meaning|Adjective

5735|Unkempt|Dishevelled, Untidy, Dirty, Not Kept Up|Adjective

5736|Unobtrusive|Not Noticeable Or Blatant, Inconspicuous|Adjective

5737|Unpalatable|Unpleasant To The Taste|Adjective

5738|Unprecedented|Never Before Seen Or Done, Without Precedent|Adjective

5739|Unravel|To Separate The Threads (Of)|Verb

5740|Unregenerate|Which Cannot Be Transformed In Mind And Spirit|Adjective

5741|Unremitting|Incessant, Never Slackening|Adjective

5742|Unrequited|Unanswered, Not Returned, Not Reciprocated, Not Repaid|Adjective

5743|Unscathed|Not Harmed Or Damaged In Any Way, Untouched|Adjective

5744|Unscrupulous|Conscienceless, Unprincipled|Adjective

5745|Unsettle|To Make Upset Or Uncomfortable|Verb

5746|Unsophisticated|Without Complexity Or Refinements|Adjective

5747|Unspeakable|Incapable Of Being Spoken Or Uttered|Adjective

5748|Untenable|Incapable Of Being Defended, As An Argument, Thesis, Etc|Adjective

5749|Untimely|At An Inopportune Time|Adjective

5750|Untoward|Unfavourable Or Unfortunate|Adjective

5751|Unutterable|Unspeakable, Beyond Expression|Adjective

5752|Unwieldy|Not Readily Handled Or Managed In Use Or Action, Awkward|Adjective

5753|Unwitting|Unintentional|Adjective

5754|Unwonted|Not Customary Or Habitual, Unusual, Infrequent, Strange|Adjective

5755|Unyoke|To Release Something From A Yoke Or Harness|Verb

5756|Up-Keep|The Process Of Properly Maintaining Something|Noun

5757|Upbraid|To Find Fault With Or Reproach Severely|Verb

5758|Upcast|To Cast Or Throw Up, To Turn Upward|Verb

5759|Upheaval|Strong Or Violent Change Or Disturbance|Noun

5760|Upheave|To Heave Or Lift Up, Raise Up Or Aloft|Verb

5761|Uppermost|At, Or Nearest The Top Of Something|Adjective

5762|Upright|Vertical, Erect|Adjective

5763|Uproarious|In A State Of Uproar, Confused And Noisy|Adjective

5764|Uproot|To Tear Away From A Native Place Or Environment|Verb

5765|Upshot|The Final Issue, Conclusion Or Result|Noun

5766|Upstart|To Rise Suddenly, To Spring|Verb

5767|Upturn|To Turn (Something) Up Or Over|Verb

5768|Urban|Related To The (Or Any) City|Adjective

5769|Urbane|Courteous, Polite, Refined, And Suave|Adjective

5770|Urbanity|Behaviour That Is Polished, Refined, Courteous|Noun

5771|Urchin|A Mischievous Child|Noun

5772|Urgency|Imperativeness|Noun

5773|Usage|A Customary Way Of Doing Something|Noun

5774|Usually|Most Of The Time|Adverb

5775|Usurious|Charging Illegal Rates Of Interest For The Use Of Money|Adjective

5776|Usurp|To Seize Power From Another, Usually By Illegitimate Means|Verb

5777|Usury|The Practice Of Lending Money At An Exorbitant Interest|Noun

5778|Utilitarian|Having Regard To Usefulness Rather Than Beauty|Adjective

5779|Utility|The State Or Condition Of Being Useful, Usefulness|Noun

5780|Utmost|Of The Greatest Or Highest Degree, Quantity Or The Like|Adjective

5781|Utopia|An Ideal Place Or State|Noun

5782|Uxorious|Overly Devoted Or Submissive To One'S Wife|Adjective

5783|Vacate|To Move Out Of A Dwelling, Either By Choice Or By Eviction|Verb

5784|Vaccinate|Treat With A Vaccine To Produce Immunity Against A Disease|Verb

5785|Vacillate|To Waver In Opinion|Verb

5786|Vacuity|Absent Of Thought Or Intelligence|Noun

5787|Vacuous|Empty, Without Contents|Adjective

5788|Vacuum|A Space Entirely Devoid Of Matter|Noun

5789|Vagabond|Wandering From Place To Place Without Any Settled Home|Noun

5790|Vagary|An Erratic Notion Or Action|Noun

5791|Vagrant|A Person Who Wanders And Has No Permanent Home Or Employment|Noun

5792|Vainglorious|Filled With Excessive Pride Over One'S Own Achievements|Adjective

5793|Vainglory|Excessive Vanity|Noun

5794|Vale|Valley|Noun

5795|Valediction|A Speech Made When Leaving Or Parting Company|Noun

5796|Valedictorian|The Student Who Gives The Farewell Address At Graduation|Noun

5797|Valedictory|Bidding Good-Bye|Adjective

5798|Valiant|Boldly Courageous|Adjective

5799|Valid|Well Grounded Or Justifiable, Pertinent|Adjective

5800|Validate|To Confirm|Verb

5801|Valorous|Courageous|Adjective

5802|Vanguard|The Foremost Division Or The Front Part Of An Army|Noun

5803|Vantage|A Position Affording Some Advantage Or Commanding View|Noun

